没,214.08576399150994,neg
啊,212.51255973792354,neg
根本,205.50888936858382,neg
搞,202.1679338878473,neg
念,198.79104244904022,neg
互评,194.85814372444474,neg
浪费时间,189.51951507352402,neg
啥,188.43042909334505,neg
不好,188.40594856533738,neg
差,187.37549483016863,neg
不能,187.00702403950933,neg
不,186.33934465108285,neg
吗,183.56105341895113,neg
有点,175.39488261811783,neg
看,175.30719185752127,neg
弄,174.9262283925067,neg
垃圾,174.31054896437487,neg
答案,172.20298263221798,neg
刷,171.8261883151295,neg
不了,170.61240227785464,neg
什么,170.52362734251625,neg
显示,169.19696998385328,neg
只,167.75208086484278,neg
分,167.21445464267097,neg
明明,166.0770215204893,neg
分数,165.81945704300193,neg
考试,164.07723867319578,neg
你们,163.88459459607913,neg
有时候,162.90929940124545,neg
还,162.47836703826306,neg
不如,160.72856022103053,neg
实在,160.14262761947057,neg
没有,155.59520021173984,neg
不到,154.9716262860796,neg
写,154.0327504477134,neg
成绩,153.71362348972022,neg
怎么,152.8484641796043,neg
找,152.61207579952864,neg
都,152.59929219682863,neg
截止,150.3220099144475,neg
提醒,148.81158355075314,neg
题,147.95626575581252,neg
无,145.3858255419007,neg
为什么,144.09424890689115,neg
吧,142.82510061481307,neg
那么,141.02797871234384,neg
低,139.1865016412522,neg
出来,138.86559930019496,neg
讲完,136.59594490183437,neg
通知,135.9366772694105,neg
错过,135.81130841118045,neg
死,134.51040469340603,neg
只能,133.94111188158004,neg
麻烦,133.15115016151884,neg
完全,132.04184226629673,neg
就,131.32135348378523,neg
说实话,130.91305205324463,neg
评论,130.86828346865025,neg
时间,129.99390541112012,neg
居然,129.8576964141294,neg
软件,129.85672085505743,neg
失望,129.84910257837004,neg
难以,129.4358116007705,neg
那,128.7847124168253,neg
连,127.62655846830594,neg
太,127.50097041195829,neg
课时,127.1838245879432,neg
加载,126.65801993409777,neg
结果,126.28449977345417,neg
浪费,126.23368403155283,neg
形式主义,126.01833082699363,neg
错,125.13155549673604,neg
评分,124.45074055163036,neg
提交,124.42706514670665,neg
呢,124.25461305663069,neg
却,123.90422682974159,neg
刷新,123.47148151781286,neg
你,122.95579342646687,neg
或者,122.42997643465748,neg
知道,121.56340444413533,neg
更新,120.83190192535065,neg
前面,120.77378406638121,neg
难,120.5432489268,neg
不对,120.45886794622707,neg
打,119.23481204004702,neg
难受,118.28558767554053,neg
看着,118.05754422319941,neg
直接,117.81959263024912,neg
看不懂,116.9202486100447,neg
讲清楚,116.46852657989334,neg
照着,116.04669015108033,neg
听不懂,115.74377018634385,neg
混乱,115.04645843233318,neg
看过,114.68609415549538,neg
字,114.54887153956767,neg
顺序,114.40861934369326,neg
不想,114.24543211735758,neg
就算,113.89633387842818,neg
总,113.86767874949642,neg
登录,113.23227334780763,neg
评,112.08378851921779,neg
进度,111.82481870198737,neg
提示,111.22476253693021,neg
就是,111.08148185361841,neg
进度条,110.94339347202313,neg
别,110.89807259435945,neg
有些,110.43857877260572,neg
照本宣科,110.33041652256838,neg
手机,110.11864057739571,neg
后面,109.84636939107901,neg
完成,109.81418739000985,neg
差劲,109.63999445996794,neg
学分,109.46071253652997,neg
不合理,109.4285740763873,neg
例如,109.30413739094234,neg
任务,108.90201900272805,neg
反应,108.73212163729112,neg
读,108.71317695034182,neg
时候,108.51391040329494,neg
想,108.4857598044938,neg
电脑,108.39948339304154,neg
玩意,108.0570292520521,neg
还行,107.66566596927356,neg
粗糙,107.41498380456827,neg
不行,107.37468024470287,neg
选,107.32111729317452,neg
作业,107.1761780844129,neg
来,107.03092907249336,neg
放,106.898558754276,neg
说,106.19688103690737,neg
过期,106.01033996135983,neg
无法,105.81068345845934,neg
慢,105.74880863148648,neg
一带而过,105.62087389353529,neg
语,105.4646361939698,neg
出,105.06637228688913,neg
考,104.6193813593827,neg
占,103.49525672861468,neg
标点符号,103.28958434877353,neg
app,102.9187848420393,neg
一直,102.72339064646066,neg
出错,102.7132436135418,neg
全部,102.59494523118218,neg
过于,102.3728722228403,neg
填空题,102.14182177090896,neg
拿,101.91702701000315,neg
哎,101.82352895830586,neg
期末考试,101.32027874996638,neg
同步,100.15402566778273,neg
做,99.13850261910434,neg
改进,98.90875244663829,neg
不会,98.77869312598705,neg
题目,97.39337463359143,neg
已经,96.96191536292514,neg
bug,96.69283049512404,neg
谁,96.62482852242503,neg
数据,96.1788290911971,neg
最后,95.92239371330027,neg
想想,95.62979598700798,neg
换,95.61440767054452,neg
全,95.38715799813696,neg
唉,95.33114108652285,neg
导致,95.19808305204977,neg
端,95.19115434631699,neg
代码,95.17456183212423,neg
精力,95.06385384128852,neg
机器,94.72682545727247,neg
啰嗦,94.59058623676097,neg
ppt,94.43249696361937,neg
进去,93.44721688498284,neg
不算,93.23442898262194,neg
卡,92.76292451101897,neg
日期,92.75900255396071,neg
没用,92.30204942943783,neg
才,92.30178845805962,neg
星,92.16891787161798,neg
差不多,91.90149141642492,neg
词,91.74264958867637,neg
办法,91.71909725510616,neg
出现,91.60990893052612,neg
又,90.8883135307756,neg
辣鸡,90.71373487353345,neg
问,90.4367823178093,neg
哪,90.18985203611624,neg
不是,89.56468112251235,neg
无聊,89.50576739523206,neg
提不起,89.4463762138277,neg
得分,89.09314922988108,neg
白白,89.02774388608114,neg
快,88.64333265264078,neg
意义,88.26425283635288,neg
全程,88.2354963267804,neg
总是,87.91432514835282,neg
学,87.75839623125722,neg
开学,87.75022255861668,neg
天天,87.68731716630181,neg
所以,87.65110901200187,neg
很烦,87.58057843991155,neg
干嘛,87.58005150086285,neg
